,Location,XYZCOD,col_1_label,col_1_qty,col_2_label,col_2_qty,col_3_label,col_3_qty,col_4_label,col_4_qty,col_5_label,col_5_qty,col_6_label,col_6_qty,col_7_label,col_7_qty,col_8_label,col_8_qty,col_9_label,col_9_qty,col_10_label,col_10_qty,col_11_label,col_11_qty,col_12_label,col_12_qty,col_13_label,col_13_qty,col_14_label,col_14_qty,col_15_label,col_15_qty,col_16_label,col_16_qty,col_17_label,col_17_qty,col_18_label,col_18_qty
0,H-10-13,X,8N10W9,11.0,8N10W9,11.0,8N10W9,11.0,8N10W9,11.0,8N10W9,11.0,8N10W9,11.0,8N10W9,11.0,8N10W9,11.0,8N10W9,11.0,8N10W9,11.0,8N10W9,11.0,8N10W9,11.0,8N10W9,11.0,8N10W9,11.0,8N10W9,11.0,8N10W9,11.0,8N10W9,11.0,8N10W9,11.0
1,H-14-11,X,8N10W9,10.0,8N10W9,10.0,8N10W9,10.0,8N10W9,10.0,8N10W9,10.0,8N10W9,10.0,8N10W9,10.0,8N10W9,10.0,8N10W9,10.0,8N10W9,10.0,8N10W9,10.0,8N10W9,10.0,8N10W9,10.0,8N10W9,10.0,8N10W9,10.0,8N10W9,10.0,8N10W9,10.0,8N10W9,10.0
2,H-10-23,X,8N10W9,12.0,8N10W9,12.0,8N10W9,12.0,8N10W9,12.0,8N10W9,12.0,8N10W9,12.0,8N10W9,12.0,8N10W9,12.0,8N10W9,12.0,8N10W9,12.0,8N10W9,12.0,8N10W9,12.0,8N10W9,12.0,8N10W9,12.0,8N10W9,12.0,8N10W9,12.0,8N10W9,12.0,8N10W9,12.0
3,H-14-21,X,8N10W9,10.5,8N10W9,10.5,8N10W9,10.5,8N10W9,10.5,8N10W9,10.5,8N10W9,10.5,8N10W9,10.5,8N10W9,10.5,8N10W9,10.5,8N10W9,10.5,8N10W9,10.5,8N10W9,10.5,8N10W9,10.5,8N10W9,10.5,8N10W9,10.5,8N10W9,10.5,8N10W9,10.5,8N10W9,10.5
4,I-09-13,X,8N10W9,9.0,8N10W9,9.0,8N10W9,9.0,8N10W9,9.0,8N10W9,9.0,8N10W9,9.0,8N10W9,9.0,8N10W9,9.0,8N10W9,9.0,8N10W9,9.0,8N10W9,9.0,8N10W9,9.0,8N10W9,9.0,8N10W9,9.0,8N10W9,9.0,8N10W9,9.0,8N10W9,9.0,8N10W9,9.0
5,I-13-11,X,8N10W9,9.5,8N10W9,9.5,8N10W9,9.5,8N10W9,9.5,8N10W9,9.5,8N10W9,9.5,8N10W9,9.5,8N10W9,9.5,8N10W9,9.5,8N10W9,9.5,8N10W9,9.5,8N10W9,9.5,8N10W9,9.5,8N10W9,9.5,8N10W9,9.5,8N10W9,9.5,8N10W9,9.5,8N10W9,9.5
6,I-09-23,X,I1KDJ0,10.0,I1KDJ0,10.0,I1KDJ0,10.0,I1KDJ0,10.0,I1KDJ0,10.0,I1KDJ0,10.0,I1KDJ0,10.0,I1KDJ0,10.0,I1KDJ0,10.0,I1KDJ0,10.0,I1KDJ0,10.0,I1KDJ0,10.0,I1KDJ0,10.0,I1KDJ0,10.0,I1KDJ0,10.0,I1KDJ0,10.0,I1KDJ0,10.0,I1KDJ0,10.0
7,I-13-21,X,I1KDJ0,11.0,I1KDJ0,11.0,I1KDJ0,11.0,I1KDJ0,11.0,I1KDJ0,11.0,I1KDJ0,11.0,I1KDJ0,11.0,I1KDJ0,11.0,I1KDJ0,11.0,I1KDJ0,11.0,I1KDJ0,11.0,I1KDJ0,11.0,I1KDJ0,11.0,I1KDJ0,11.0,I1KDJ0,11.0,I1KDJ0,11.0,I1KDJ0,11.0,I1KDJ0,11.0
8,H-10-12,X,I1KDJ0,9.0,I1KDJ0,9.0,I1KDJ0,9.0,I1KDJ0,9.0,I1KDJ0,9.0,I1KDJ0,9.0,I1KDJ0,9.0,I1KDJ0,9.0,I1KDJ0,9.0,I1KDJ0,9.0,I1KDJ0,9.0,I1KDJ0,9.0,I1KDJ0,9.0,I1KDJ0,9.0,I1KDJ0,9.0,I1KDJ0,9.0,I1KDJ0,9.0,I1KDJ0,9.0
9,H-14-12,X,WRRW1W,10.0,WRRW1W,10.0,WRRW1W,10.0,WRRW1W,10.0,WRRW1W,10.0,WRRW1W,10.0,WRRW1W,10.0,WRRW1W,10.0,WRRW1W,10.0,WRRW1W,10.0,WRRW1W,10.0,WRRW1W,10.0,WRRW1W,10.0,WRRW1W,10.0,WRRW1W,10.0,WRRW1W,10.0,WRRW1W,10.0,WRRW1W,10.0
