,originalLocation,col_1_label,col_1_qty,col_2_label,col_2_qty,col_3_label,col_3_qty,col_4_label,col_4_qty,col_5_label,col_5_qty,col_6_label,col_6_qty,col_7_label,col_7_qty,col_8_label,col_8_qty,col_9_label,col_9_qty,col_10_label,col_10_qty,col_11_label,col_11_qty,col_12_label,col_12_qty,col_13_label,col_13_qty,col_14_label,col_14_qty,col_15_label,col_15_qty,col_16_label,col_16_qty,col_17_label,col_17_qty,col_18_label,col_18_qty
0,A-14-11,TQBVRI,7.0,O7TSVL,12.0,4E0KXI,16.0,ULG3QT,11.0,AKP0A7,9.0,CD1NU9,7.0,A7MDBC,15.0,0SJH1Z,16.0,XFQ9CP,7.0,05W6TK,13.0,YXGRMP,9.0,VWXLZJ,16.0,TLFT43,8.0,PY5UPB,11.0,H51IVV,10.0,K3YA1X,11.0,2T1DJM,13.0,NISP6K,14.0
1,A-14-12,YE890X,5.0,TLFT43,10.0,EYEOXS,6.0,QP56BU,12.0,VWXLZJ,5.0,6NDM0O,10.0,A19092,14.0,YF0X2Z,16.0,FQ53YY,14.0,YRRNGL,15.0,JHSQHS,6.0,TLFT43,14.0,WRRW1W,6.0,TBCCF7,11.0,SVFO5S,10.0,TB6WIP,9.0,8N10W9,7.0,YRRNGL,8.0
2,A-14-13,M8W7TS,12.0,63KAC1,10.0,GPBMZJ,9.0,CVU3QV,11.0,05W6TK,14.0,A19092,4.0,TBCCF7,9.0,ZGYCSW,13.0,AHR20O,4.0,8N10W9,7.0,TBCCF7,15.0,9VBE59,11.0,IA7X1P,15.0,63KAC1,10.0,I2B1FH,9.0,O9YFO8,10.0,V7JUQL,13.0,N6JU7C,13.0
3,A-14-21,CST1KC,5.0,O7TSVL,14.0,HGXJD0,10.0,37VA62,13.0,AHSNWF,13.0,9KHDG3,8.0,5P4LRT,12.0,FQ53YY,14.0,QVFB0Q,4.0,J3FI7N,11.0,X31OGS,13.0,HOUGRO,13.0,VHQ356,7.0,EAJXUV,8.0,JU0ODD,12.0,SWN7AU,4.0,IYLV38,9.0,QVFB0Q,7.0
4,A-14-22,5IXVJ1,13.0,ZX6MUV,5.0,NM6C73,11.0,I2B1FH,16.0,0LNUOV,11.0,F29V5I,7.0,QTMT7N,13.0,SMMRK3,6.0,QVFB0Q,8.0,W518XY,9.0,ZRCYSH,6.0,6WT73N,11.0,EO69NY,11.0,PZUF7K,4.0,QP56BU,6.0,O9YFO8,14.0,CST1KC,12.0,6M2FJM,10.0
5,A-14-23,SWN7AU,16.0,PY5UPB,7.0,O9YFO8,8.0,5HQR89,13.0,UU4A1K,10.0,FQ53YY,10.0,SY1DDY,13.0,5IXVJ1,4.0,800OVF,9.0,0SJH1Z,4.0,RBKNR4,9.0,6M2FJM,7.0,APQKWK,4.0,HI2X6U,6.0,RUUOCB,13.0,YMN5EM,5.0,4SD17H,14.0,02MRUH,11.0
6,A-14-30,A7MDBC,4.0,4ILN0A,6.0,IA7X1P,6.0,RN2DSQ,15.0,PZUF7K,12.0,TAHFOD,10.0,5P4LRT,16.0,JEGRCL,9.0,QM2UH1,11.0,JWTWL1,10.0,JGP0ID,11.0,5MNTT7,10.0,5P2MVG,14.0,F7LULH,5.0,56TC1Z,9.0,HA0BOB,13.0,SSQFQA,10.0,YKQY4X,10.0
7,A-14-40,JWTWL1,10.0,JEGRCL,7.0,SSQFQA,16.0,AB9XBU,4.0,TB6WIP,12.0,HOUJQN,9.0,02MRUH,6.0,05W6TK,10.0,EYEOXS,15.0,CST1KC,6.0,84ABYS,15.0,9VBE59,16.0,F0P5OQ,14.0,JCIIEB,6.0,32ZKOX,14.0,ADT9MG,12.0,ODZZLY,13.0,PC1PMV,13.0
8,A-16-11,PY5UPB,7.0,DSQXYR,15.0,Y813MQ,16.0,B24J86,12.0,JU0ODD,15.0,1D2ILZ,7.0,CVU3QV,5.0,LXJQVG,7.0,4ILN0A,12.0,UNPPMJ,10.0,TLFT43,6.0,WH1BJI,9.0,EAJXUV,6.0,0LNUOV,15.0,U95NWB,13.0,M8W7TS,14.0,XLTRGL,14.0,QM2UH1,9.0
9,A-16-12,T3NVTG,7.0,SVJZKL,13.0,EYEOXS,10.0,EO69NY,6.0,IJBSQT,6.0,V6K6JX,12.0,IYLV38,11.0,IYXV3Z,14.0,ETU70R,14.0,I2B1FH,14.0,5P2MVG,4.0,V6K6JX,14.0,D8AMD3,16.0,EYEOXS,5.0,W25EZN,16.0,122OKQ,6.0,ADT9MG,5.0,5X8RAN,4.0
10,A-16-13,AKP0A7,16.0,O7TSVL,13.0,D05ZS7,6.0,NISP6K,9.0,X0HH8Y,14.0,TOENMT,5.0,BLJLMQ,15.0,ZRCYSH,14.0,G8ASPE,6.0,X31OGS,16.0,4ILN0A,4.0,5P2MVG,10.0,XPZSZ1,13.0,DSQXYR,6.0,8E9F1P,12.0,F73ZE1,8.0,QM2UH1,4.0,B24J86,15.0
11,A-16-21,KTDZY0,10.0,A19092,14.0,8N10W9,12.0,I2B1FH,12.0,9KHDG3,5.0,EAJXUV,11.0,QM2UH1,16.0,YXGRMP,9.0,H51IVV,11.0,HLOISD,13.0,IYXV3Z,8.0,EQQBND,10.0,EAJXUV,15.0,DGAONE,13.0,122OKQ,16.0,AHSNWF,7.0,XSFSKX,16.0,4SD17H,9.0
12,A-16-22,800OVF,10.0,QVFB0Q,5.0,UCRNWD,14.0,TLFT43,13.0,ETU70R,16.0,K3YA1X,11.0,Q164T6,10.0,32ZKOX,8.0,YXGRMP,7.0,5X8RAN,11.0,JGP0ID,8.0,SY1DDY,4.0,84ABYS,15.0,PP9DNA,4.0,QTMT7N,7.0,SVJZKL,12.0,JWTWL1,16.0,63KAC1,12.0
13,A-16-23,70EPUK,6.0,122OKQ,4.0,8D9SAW,14.0,A19092,11.0,I1X92B,6.0,J2URNJ,4.0,FQ53YY,11.0,3LQL9L,5.0,SVJZKL,13.0,5HQR89,16.0,HCMI82,10.0,VWXLZJ,7.0,ULG3QT,12.0,O9YFO8,7.0,MLV9BR,16.0,Q50W5L,10.0,ZGYCSW,9.0,DNLEH7,16.0
14,A-16-30,1D2ILZ,9.0,TLFT43,15.0,IPGA7X,12.0,IYV9SV,12.0,RN2DSQ,15.0,HI2X6U,16.0,KTDZY0,5.0,YKQY4X,8.0,HGXJD0,6.0,RAUDQ6,4.0,ULG3QT,15.0,TQBVRI,9.0,PP9DNA,14.0,4ILN0A,15.0,RBKNR4,5.0,I2B1FH,5.0,TAHFOD,5.0,8N10W9,4.0
15,A-16-40,9KZ6W1,13.0,QOMHJ2,11.0,I1KDJ0,7.0,7BU1V7,5.0,EAJXUV,12.0,QVFB0Q,8.0,I2B1FH,13.0,CST1KC,8.0,Z8KPP8,9.0,PY5UPB,13.0,J3FI7N,9.0,8BSFSA,7.0,D05ZS7,13.0,SWN7AU,9.0,AHSNWF,11.0,6M2FJM,4.0,QM2UH1,4.0,H51IVV,14.0
16,A-18-11,X0HH8Y,4.0,EQQBND,13.0,EAJXUV,11.0,AHSNWF,11.0,M67GNC,5.0,IAKTYD,4.0,I1KDJ0,10.0,U8203G,9.0,32ZKOX,16.0,32ZKOX,15.0,70EPUK,13.0,F73ZE1,13.0,AHR20O,4.0,KZ5VR3,11.0,QXS5D1,13.0,EA91CP,13.0,QXS5D1,4.0,9S4AF8,6.0
17,A-18-12,YN8OHN,14.0,YF0X2Z,15.0,F73ZE1,9.0,CVU3QV,11.0,DSQXYR,5.0,RAUDQ6,10.0,QM2UH1,7.0,4E0KXI,15.0,EYEOXS,6.0,SWN7AU,9.0,YN8OHN,5.0,4E0KXI,9.0,5MNTT7,8.0,QM2UH1,11.0,YF0X2Z,15.0,IPGA7X,12.0,D8AMD3,4.0,M67GNC,4.0
18,A-18-13,6NDM0O,4.0,O7TSVL,12.0,1A6YTA,6.0,O9YFO8,15.0,WRRW1W,8.0,V7JUQL,5.0,X0HH8Y,10.0,O7AXAK,9.0,XPZSZ1,7.0,EYEOXS,12.0,6MKIC6,10.0,CST1KC,6.0,IAKTYD,11.0,CD1NU9,11.0,U8203G,7.0,RBKNR4,16.0,ASG1IT,12.0,AHR20O,13.0
19,A-18-21,YF0X2Z,14.0,TNAHD4,11.0,W518XY,15.0,6M2FJM,10.0,0SJH1Z,7.0,SWN7AU,10.0,SSQFQA,16.0,FJ25W1,13.0,122OKQ,12.0,1D2ILZ,8.0,5IXVJ1,4.0,Z26SRT,9.0,TNAHD4,6.0,5HQR89,13.0,2Z7ZEP,9.0,S90CD9,15.0,G8ASPE,15.0,HOUJQN,9.0
20,A-18-22,UNPPMJ,10.0,F98BNI,16.0,1ENECA,14.0,KUFVRI,15.0,JCIIEB,7.0,RAUDQ6,9.0,AX7BJ8,8.0,EBKM6C,10.0,D05ZS7,4.0,K3YA1X,16.0,SMMRK3,8.0,J3FI7N,4.0,8BSFSA,4.0,N6JU7C,8.0,1JT1XB,13.0,NJVZEL,8.0,ZGYCSW,4.0,HLOISD,14.0
21,A-18-23,5MNTT7,9.0,D8AMD3,16.0,6NDM0O,11.0,O9YFO8,7.0,69L9MX,6.0,X0HH8Y,15.0,Q50W5L,4.0,F0P5OQ,6.0,1D2ILZ,13.0,FQ53YY,11.0,O7AXAK,12.0,5HQR89,11.0,LXJQVG,9.0,F98BNI,7.0,SVFO5S,6.0,NM6C73,8.0,4SD17H,10.0,PY5UPB,14.0
22,A-18-30,PZUF7K,7.0,5HQR89,6.0,QXS5D1,8.0,F98BNI,14.0,0SJH1Z,8.0,W518XY,4.0,YMN5EM,11.0,S90CD9,11.0,QXS5D1,13.0,QOMHJ2,14.0,EBKM6C,5.0,V7JUQL,4.0,TAHFOD,10.0,F98BNI,4.0,F73ZE1,6.0,6N3PKW,10.0,PP9DNA,11.0,PP9DNA,7.0
23,A-18-40,H1I7JZ,7.0,37VA62,12.0,UU4A1K,4.0,AHSNWF,6.0,W518XY,13.0,4E1WTK,13.0,ZX6MUV,9.0,A7MDBC,13.0,LXJQVG,9.0,RAUDQ6,4.0,4SD17H,14.0,I1X92B,16.0,AHR20O,4.0,GPBMZJ,13.0,7GC57K,9.0,7GC57K,15.0,XLTRGL,4.0,5IXVJ1,7.0
24,A-20-11,4SD17H,14.0,J3FI7N,14.0,XLTRGL,8.0,9KHDG3,10.0,3LQL9L,15.0,XFQ9CP,11.0,HXQR4L,14.0,IAKTYD,6.0,122OKQ,4.0,AKP0A7,11.0,6N3PKW,12.0,CVU3QV,5.0,I1X92B,14.0,RUUOCB,12.0,TOENMT,6.0,DF3KQM,8.0,JCNON3,14.0,U8203G,16.0
25,A-20-12,4E1WTK,8.0,EO69NY,7.0,Y813MQ,11.0,ZRCYSH,5.0,IYLV38,9.0,4ILN0A,16.0,XFQ9CP,15.0,DF3KQM,11.0,AB9XBU,15.0,37VA62,13.0,UDF17E,6.0,PY5UPB,7.0,HOUGRO,9.0,UU4A1K,5.0,SY1DDY,14.0,O7AXAK,11.0,WH1BJI,9.0,Y813MQ,5.0
26,A-20-13,RBKNR4,13.0,DNLEH7,6.0,CST1KC,12.0,XUZJ74,11.0,LXJQVG,4.0,2T1DJM,4.0,5HQR89,7.0,NISP6K,6.0,NM6C73,5.0,WRRW1W,5.0,F7LULH,15.0,ZGYCSW,15.0,H1I7JZ,13.0,F73ZE1,5.0,TB6WIP,8.0,ADT9MG,11.0,W518XY,5.0,32ZKOX,11.0
27,A-20-21,1ENECA,7.0,TBCCF7,16.0,JWTWL1,16.0,CVU3QV,10.0,JGP0ID,5.0,KZ5VR3,13.0,5P2MVG,11.0,SVJZKL,10.0,9VBE59,13.0,CST1KC,14.0,I2B1FH,6.0,M67GNC,13.0,5HQR89,16.0,U8203G,9.0,PP9DNA,5.0,HOUJQN,15.0,8D9SAW,16.0,HOUGRO,15.0
