,originalLocation,position,x,y,z
0,A-14-11,"368, 0, 1",368,0,1
1,A-14-12,"352, 0, 1",352,0,1
2,A-14-13,"336, 0, 1",336,0,1
8,A-16-11,"318, 0, 1",318,0,1
9,A-16-12,"302, 0, 1",302,0,1
10,A-16-13,"286, 0, 1",286,0,1
16,A-18-11,"268, 0, 1",268,0,1
17,A-18-12,"252, 0, 1",252,0,1
18,A-18-13,"236, 0, 1",236,0,1
24,A-20-11,"218, 0, 1",218,0,1
25,A-20-12,"202, 0, 1",202,0,1
26,A-20-13,"186, 0, 1",186,0,1
32,A-22-11,"168, 0, 1",168,0,1
33,A-22-12,"152, 0, 1",152,0,1
34,A-22-13,"136, 0, 1",136,0,1
40,A-24-11,"118, 0, 1",118,0,1
41,A-24-12,"102, 0, 1",102,0,1
42,A-24-13,"86, 0, 1",86,0,1
48,B-13-11,"368, 32, 1",368,32,1
49,B-13-12,"352, 32, 1",352,32,1
50,B-13-13,"336, 32, 1",336,32,1
56,B-14-11,"368, 90, 1",368,90,1
57,B-14-12,"352, 90, 1",352,90,1
58,B-14-13,"336, 90, 1",336,90,1
64,B-15-11,"318, 32, 1",318,32,1
65,B-15-12,"302, 32, 1",302,32,1
66,B-15-13,"286, 32, 1",286,32,1
72,B-16-11,"318, 90, 1",318,90,1
73,B-16-12,"302, 90, 1",302,90,1
74,B-16-13,"286, 90, 1",286,90,1
80,B-17-11,"268, 32, 1",268,32,1
81,B-17-12,"252, 32, 1",252,32,1
82,B-17-13,"236, 32, 1",236,32,1
88,B-18-11,"268, 90, 1",268,90,1
89,B-18-12,"252, 90, 1",252,90,1
90,B-18-13,"236, 90, 1",236,90,1
96,B-19-11,"218, 32, 1",218,32,1
97,B-19-12,"202, 32, 1",202,32,1
98,B-19-13,"186, 32, 1",186,32,1
104,B-20-11,"218, 90, 1",218,90,1
105,B-20-12,"202, 90, 1",202,90,1
106,B-20-13,"186, 90, 1",186,90,1
112,B-21-11,"168, 32, 1",168,32,1
113,B-21-12,"152, 32, 1",152,32,1
114,B-21-13,"136, 32, 1",136,32,1
120,B-22-11,"168, 90, 1",168,90,1
121,B-22-12,"152, 90, 1",152,90,1
122,B-22-13,"136, 90, 1",136,90,1
128,B-23-11,"118, 32, 1",118,32,1
129,B-23-12,"102, 32, 1",102,32,1
130,B-23-13,"86, 32, 1",86,32,1
136,B-24-11,"118, 90, 1",118,90,1
137,B-24-12,"102, 90, 1",102,90,1
138,B-24-13,"86, 90, 1",86,90,1
144,C-13-11,"368, 122, 1",368,122,1
145,C-13-12,"352, 122, 1",352,122,1
146,C-13-13,"336, 122, 1",336,122,1
152,C-14-11,"368, 180, 1",368,180,1
153,C-14-12,"352, 180, 1",352,180,1
154,C-14-13,"336, 180, 1",336,180,1
160,C-15-11,"318, 122, 1",318,122,1
161,C-15-12,"302, 122, 1",302,122,1
162,C-15-13,"286, 122, 1",286,122,1
168,C-16-11,"318, 180, 1",318,180,1
169,C-16-12,"302, 180, 1",302,180,1
170,C-16-13,"286, 180, 1",286,180,1
176,C-17-11,"268, 122, 1",268,122,1
177,C-17-12,"252, 122, 1",252,122,1
178,C-17-13,"236, 122, 1",236,122,1
184,C-18-11,"268, 180, 1",268,180,1
185,C-18-12,"252, 180, 1",252,180,1
186,C-18-13,"236, 180, 1",236,180,1
192,C-19-11,"218, 122, 1",218,122,1
193,C-19-12,"202, 122, 1",202,122,1
194,C-19-13,"186, 122, 1",186,122,1
200,C-20-11,"218, 180, 1",218,180,1
201,C-20-12,"202, 180, 1",202,180,1
202,C-20-13,"186, 180, 1",186,180,1
208,C-21-11,"168, 122, 1",168,122,1
209,C-21-12,"152, 122, 1",152,122,1
210,C-21-13,"136, 122, 1",136,122,1
216,C-22-11,"168, 180, 1",168,180,1
217,C-22-12,"152, 180, 1",152,180,1
218,C-22-13,"136, 180, 1",136,180,1
224,C-23-11,"118, 122, 1",118,122,1
225,C-23-12,"102, 122, 1",102,122,1
226,C-23-13,"86, 122, 1",86,122,1
232,C-24-11,"118, 180, 1",118,180,1
233,C-24-12,"102, 180, 1",102,180,1
234,C-24-13,"86, 180, 1",86,180,1
240,D-13-11,"368, 212, 1",368,212,1
241,D-13-12,"352, 212, 1",352,212,1
242,D-13-13,"336, 212, 1",336,212,1
248,D-14-11,"368, 270, 1",368,270,1
249,D-14-12,"352, 270, 1",352,270,1
250,D-14-13,"336, 270, 1",336,270,1
256,D-15-11,"318, 212, 1",318,212,1
257,D-15-12,"302, 212, 1",302,212,1
258,D-15-13,"286, 212, 1",286,212,1
264,D-16-11,"318, 270, 1",318,270,1
265,D-16-12,"302, 270, 1",302,270,1
266,D-16-13,"286, 270, 1",286,270,1
272,D-17-11,"268, 212, 1",268,212,1
273,D-17-12,"252, 212, 1",252,212,1
274,D-17-13,"236, 212, 1",236,212,1
280,D-18-11,"268, 270, 1",268,270,1
281,D-18-12,"252, 270, 1",252,270,1
282,D-18-13,"236, 270, 1",236,270,1
288,D-19-11,"218, 212, 1",218,212,1
289,D-19-12,"202, 212, 1",202,212,1
290,D-19-13,"186, 212, 1",186,212,1
