,originalLocation,col_1_label,col_1_qty,col_2_label,col_2_qty,col_3_label,col_3_qty,col_4_label,col_4_qty,col_5_label,col_5_qty,col_6_label,col_6_qty,col_7_label,col_7_qty,col_8_label,col_8_qty,col_9_label,col_9_qty,col_10_label,col_10_qty,col_11_label,col_11_qty,col_12_label,col_12_qty,col_13_label,col_13_qty,col_14_label,col_14_qty,col_15_label,col_15_qty,col_16_label,col_16_qty,col_17_label,col_17_qty,col_18_label,col_18_qty
0,A-14-11,TQBVRI,7.0,O7TSVL,12.0,4E0KXI,16.0,ULG3QT,11.0,AKP0A7,9.0,CD1NU9,7.0,A7MDBC,15.0,0SJH1Z,16.0,XFQ9CP,7.0,05W6TK,13.0,YXGRMP,9.0,VWXLZJ,16.0,TLFT43,8.0,PY5UPB,11.0,H51IVV,10.0,K3YA1X,11.0,2T1DJM,13.0,NISP6K,14.0
1,A-14-12,YE890X,5.0,TLFT43,10.0,EYEOXS,6.0,QP56BU,12.0,VWXLZJ,5.0,6NDM0O,10.0,A19092,14.0,YF0X2Z,16.0,FQ53YY,14.0,YRRNGL,15.0,JHSQHS,6.0,TLFT43,14.0,WRRW1W,6.0,TBCCF7,11.0,SVFO5S,10.0,TB6WIP,9.0,8N10W9,7.0,YRRNGL,8.0
2,A-14-13,M8W7TS,12.0,63KAC1,10.0,GPBMZJ,9.0,CVU3QV,11.0,05W6TK,14.0,A19092,4.0,TBCCF7,9.0,ZGYCSW,13.0,AHR20O,4.0,8N10W9,7.0,TBCCF7,15.0,9VBE59,11.0,IA7X1P,15.0,63KAC1,10.0,I2B1FH,9.0,O9YFO8,10.0,V7JUQL,13.0,N6JU7C,13.0
8,A-16-11,PY5UPB,7.0,DSQXYR,15.0,Y813MQ,16.0,B24J86,12.0,JU0ODD,15.0,1D2ILZ,7.0,CVU3QV,5.0,LXJQVG,7.0,4ILN0A,12.0,UNPPMJ,10.0,TLFT43,6.0,WH1BJI,9.0,EAJXUV,6.0,0LNUOV,15.0,U95NWB,13.0,M8W7TS,14.0,XLTRGL,14.0,QM2UH1,9.0
9,A-16-12,T3NVTG,7.0,SVJZKL,13.0,EYEOXS,10.0,EO69NY,6.0,IJBSQT,6.0,V6K6JX,12.0,IYLV38,11.0,IYXV3Z,14.0,ETU70R,14.0,I2B1FH,14.0,5P2MVG,4.0,V6K6JX,14.0,D8AMD3,16.0,EYEOXS,5.0,W25EZN,16.0,122OKQ,6.0,ADT9MG,5.0,5X8RAN,4.0
10,A-16-13,AKP0A7,16.0,O7TSVL,13.0,D05ZS7,6.0,NISP6K,9.0,X0HH8Y,14.0,TOENMT,5.0,BLJLMQ,15.0,ZRCYSH,14.0,G8ASPE,6.0,X31OGS,16.0,4ILN0A,4.0,5P2MVG,10.0,XPZSZ1,13.0,DSQXYR,6.0,8E9F1P,12.0,F73ZE1,8.0,QM2UH1,4.0,B24J86,15.0
16,A-18-11,X0HH8Y,4.0,EQQBND,13.0,EAJXUV,11.0,AHSNWF,11.0,M67GNC,5.0,IAKTYD,4.0,I1KDJ0,10.0,U8203G,9.0,32ZKOX,16.0,32ZKOX,15.0,70EPUK,13.0,F73ZE1,13.0,AHR20O,4.0,KZ5VR3,11.0,QXS5D1,13.0,EA91CP,13.0,QXS5D1,4.0,9S4AF8,6.0
17,A-18-12,YN8OHN,14.0,YF0X2Z,15.0,F73ZE1,9.0,CVU3QV,11.0,DSQXYR,5.0,RAUDQ6,10.0,QM2UH1,7.0,4E0KXI,15.0,EYEOXS,6.0,SWN7AU,9.0,YN8OHN,5.0,4E0KXI,9.0,5MNTT7,8.0,QM2UH1,11.0,YF0X2Z,15.0,IPGA7X,12.0,D8AMD3,4.0,M67GNC,4.0
18,A-18-13,6NDM0O,4.0,O7TSVL,12.0,1A6YTA,6.0,O9YFO8,15.0,WRRW1W,8.0,V7JUQL,5.0,X0HH8Y,10.0,O7AXAK,9.0,XPZSZ1,7.0,EYEOXS,12.0,6MKIC6,10.0,CST1KC,6.0,IAKTYD,11.0,CD1NU9,11.0,U8203G,7.0,RBKNR4,16.0,ASG1IT,12.0,AHR20O,13.0
24,A-20-11,4SD17H,14.0,J3FI7N,14.0,XLTRGL,8.0,9KHDG3,10.0,3LQL9L,15.0,XFQ9CP,11.0,HXQR4L,14.0,IAKTYD,6.0,122OKQ,4.0,AKP0A7,11.0,6N3PKW,12.0,CVU3QV,5.0,I1X92B,14.0,RUUOCB,12.0,TOENMT,6.0,DF3KQM,8.0,JCNON3,14.0,U8203G,16.0
25,A-20-12,4E1WTK,8.0,EO69NY,7.0,Y813MQ,11.0,ZRCYSH,5.0,IYLV38,9.0,4ILN0A,16.0,XFQ9CP,15.0,DF3KQM,11.0,AB9XBU,15.0,37VA62,13.0,UDF17E,6.0,PY5UPB,7.0,HOUGRO,9.0,UU4A1K,5.0,SY1DDY,14.0,O7AXAK,11.0,WH1BJI,9.0,Y813MQ,5.0
26,A-20-13,RBKNR4,13.0,DNLEH7,6.0,CST1KC,12.0,XUZJ74,11.0,LXJQVG,4.0,2T1DJM,4.0,5HQR89,7.0,NISP6K,6.0,NM6C73,5.0,WRRW1W,5.0,F7LULH,15.0,ZGYCSW,15.0,H1I7JZ,13.0,F73ZE1,5.0,TB6WIP,8.0,ADT9MG,11.0,W518XY,5.0,32ZKOX,11.0
32,A-22-11,JCNON3,10.0,B24J86,9.0,A7MDBC,12.0,UCRNWD,5.0,O7AXAK,5.0,ADT9MG,13.0,Y813MQ,9.0,AHR20O,13.0,UDF17E,9.0,8BSFSA,7.0,QOMHJ2,13.0,VWXLZJ,8.0,XSFSKX,4.0,WGHG3L,16.0,8E9F1P,8.0,1A6YTA,11.0,7BU1V7,5.0,HGXJD0,6.0
33,A-22-12,H51IVV,11.0,CD1NU9,6.0,JGP0ID,15.0,JCIIEB,11.0,ADT9MG,5.0,KTDZY0,13.0,QTMT7N,8.0,D8AMD3,15.0,RAUDQ6,6.0,RN2DSQ,12.0,7GC57K,11.0,J2URNJ,16.0,PY5UPB,8.0,0LNUOV,11.0,122OKQ,4.0,066BOU,13.0,YXGRMP,15.0,SVFO5S,4.0
34,A-22-13,XLTRGL,5.0,8N10W9,16.0,D8AMD3,14.0,9VBE59,16.0,1D2ILZ,9.0,PC1PMV,5.0,066BOU,15.0,5IXVJ1,7.0,UHYJ3A,6.0,V7JUQL,10.0,EAJXUV,14.0,EQQBND,7.0,8N10W9,15.0,RN2DSQ,10.0,BLJLMQ,12.0,B24J86,10.0,VWXLZJ,10.0,I2B1FH,6.0
40,A-24-11,ADT9MG,11.0,SVFO5S,12.0,122OKQ,5.0,F29V5I,6.0,FQ53YY,10.0,CU53FM,6.0,02MRUH,12.0,EBKM6C,12.0,ETU70R,16.0,JGP0ID,5.0,AHR20O,8.0,XFQ9CP,7.0,ETU70R,11.0,W518XY,12.0,T3NVTG,11.0,TOENMT,9.0,F7LULH,15.0,F73ZE1,14.0
41,A-24-12,SY1DDY,16.0,CU53FM,16.0,TOENMT,10.0,HCMI82,10.0,5X8RAN,9.0,37VA62,7.0,JU0ODD,14.0,1D2ILZ,7.0,ODZZLY,12.0,D05ZS7,15.0,2LPO6D,7.0,APQKWK,15.0,VHQ356,13.0,DNLEH7,6.0,AKP0A7,14.0,VHQ356,15.0,9VBE59,7.0,DSQXYR,14.0
42,A-24-13,TAHFOD,11.0,9S4AF8,8.0,YKQY4X,5.0,4ILN0A,11.0,TNAHD4,13.0,UMKYTJ,7.0,EA91CP,8.0,JUUL5B,15.0,LXJQVG,8.0,Q50W5L,12.0,DSQXYR,14.0,56TC1Z,11.0,7GC57K,9.0,UNPPMJ,8.0,ZGYCSW,12.0,V7JUQL,8.0,W518XY,10.0,WGHG3L,14.0
48,B-13-11,JGP0ID,7.0,37VA62,7.0,O7TSVL,8.0,Z26SRT,13.0,4SD17H,8.0,Z8KPP8,13.0,O7AXAK,6.0,37VA62,6.0,SSQFQA,6.0,IYV9SV,6.0,PZUF7K,8.0,G8ASPE,9.0,Z26SRT,11.0,J3FI7N,12.0,IYLV38,15.0,IYXV3Z,12.0,APQKWK,5.0,7BU1V7,15.0
49,B-13-12,XPZSZ1,16.0,ULG3QT,7.0,9FWH2G,4.0,SVJZKL,15.0,0LNUOV,8.0,ZX6MUV,12.0,ZGYCSW,7.0,7GC57K,10.0,UMKYTJ,15.0,F7LULH,8.0,9S4AF8,15.0,N6JU7C,10.0,Q164T6,16.0,70EPUK,7.0,XUZJ74,8.0,ADT9MG,10.0,GPBMZJ,5.0,QVFB0Q,16.0
50,B-13-13,05W6TK,8.0,37VA62,12.0,HXQR4L,14.0,1JT1XB,5.0,84ABYS,14.0,IYLV38,8.0,5MNTT7,5.0,WRRW1W,5.0,122OKQ,4.0,QM2UH1,9.0,DNLEH7,8.0,EAJXUV,10.0,FJ25W1,8.0,LXJQVG,7.0,5IXVJ1,9.0,DGAONE,7.0,XLTRGL,4.0,HCMI82,9.0
56,B-14-11,37VA62,4.0,7GC57K,13.0,3LQL9L,4.0,LXJQVG,12.0,CD1NU9,15.0,HXQR4L,15.0,XLTRGL,11.0,SMMRK3,5.0,I2B1FH,6.0,T3NVTG,15.0,UHYJ3A,9.0,PC1PMV,7.0,AB9XBU,10.0,RAUDQ6,5.0,EQQBND,9.0,EQQBND,13.0,2OAVPY,11.0,AHSNWF,10.0
57,B-14-12,8D9SAW,10.0,SMMRK3,16.0,K3YA1X,11.0,JU0ODD,12.0,800OVF,9.0,JCIIEB,7.0,9VBE59,13.0,ODZZLY,8.0,D8AMD3,6.0,6N3PKW,9.0,G8ASPE,13.0,RN2DSQ,5.0,NJVZEL,11.0,YE890X,5.0,9KZ6W1,7.0,FQ53YY,9.0,2OAVPY,6.0,J3FI7N,10.0
58,B-14-13,EYEOXS,13.0,TBCCF7,12.0,CD1NU9,15.0,2Z7ZEP,14.0,SMMRK3,13.0,2Z7ZEP,8.0,TLFT43,12.0,122OKQ,16.0,1D2ILZ,4.0,5HQR89,10.0,122OKQ,4.0,X0HH8Y,16.0,ZGYCSW,11.0,TQBVRI,12.0,V6K6JX,7.0,SVJZKL,8.0,JCIIEB,6.0,0SJH1Z,8.0
64,B-15-11,ZRCYSH,15.0,VHQ356,12.0,SY1DDY,15.0,F0P5OQ,15.0,QXS5D1,16.0,M8W7TS,12.0,JUUL5B,5.0,XUZJ74,13.0,S90CD9,16.0,BLJLMQ,5.0,BLJLMQ,14.0,DGAONE,7.0,UNPPMJ,6.0,O9YFO8,15.0,TOENMT,9.0,TB6WIP,7.0,NISP6K,9.0,ULG3QT,12.0
65,B-15-12,F0P5OQ,4.0,KZ5VR3,13.0,QTMT7N,10.0,A7MDBC,5.0,NISP6K,10.0,EA91CP,11.0,CU53FM,13.0,EQQBND,4.0,4E0KXI,5.0,9KHDG3,13.0,8BSFSA,6.0,5HQR89,8.0,IAKTYD,16.0,JUUL5B,7.0,PY5UPB,15.0,9KHDG3,9.0,M8W7TS,14.0,DSQXYR,9.0
66,B-15-13,W25EZN,7.0,JCNON3,9.0,HGXJD0,8.0,LXJQVG,13.0,KUFVRI,16.0,SWN7AU,12.0,PZUF7K,11.0,SVJZKL,11.0,CST1KC,8.0,F73ZE1,8.0,F0P5OQ,8.0,QTMT7N,15.0,TQBVRI,4.0,U8203G,12.0,ZRCYSH,7.0,DNLEH7,4.0,SY1DDY,11.0,GPBMZJ,15.0
72,B-16-11,FQ53YY,10.0,WH1BJI,8.0,UNPPMJ,4.0,IYLV38,7.0,EUMBM7,10.0,WRRW1W,15.0,2Z7ZEP,4.0,4ILN0A,6.0,LXJQVG,15.0,VWXLZJ,4.0,70EPUK,12.0,6N3PKW,7.0,UDF17E,10.0,6WT73N,4.0,KUFVRI,6.0,CD1NU9,12.0,7BU1V7,11.0,HA0BOB,11.0
