,originalLocation,x,y,z
0,A-14-11,3.6799999999999997,0.0,1
1,A-14-12,3.5200000000000005,0.0,1
2,A-14-13,3.3600000000000003,0.0,1
3,A-16-11,31.8,0.0,1
4,A-16-12,30.2,0.0,1
5,A-16-13,28.6,0.0,1
6,A-18-11,26.8,0.0,1
7,A-18-12,25.2,0.0,1
8,A-18-13,23.6,0.0,1
9,A-20-11,21.8,0.0,1
10,A-20-12,20.2,0.0,1
11,A-20-13,18.6,0.0,1
12,A-22-11,16.8,0.0,1
13,A-22-12,15.2,0.0,1
14,A-22-13,13.6,0.0,1
15,A-24-11,11.8,0.0,1
16,A-24-12,10.2,0.0,1
17,A-24-13,8.6,0.0,1
18,B-13-11,36.8,3.2,1
19,B-13-12,35.2,3.2,1
20,B-13-13,33.6,3.2,1
21,B-14-11,36.8,9.0,1
22,B-14-12,35.2,9.0,1
23,B-14-13,33.6,9.0,1
24,B-15-11,31.8,3.2,1
25,B-15-12,30.2,3.2,1
26,B-15-13,28.6,3.2,1
27,B-16-11,31.8,9.0,1
28,B-16-12,30.2,9.0,1
29,B-16-13,28.6,9.0,1
30,B-17-11,26.8,3.2,1
31,B-17-12,25.2,3.2,1
32,B-17-13,23.6,3.2,1
33,B-18-11,26.8,9.0,1
34,B-18-12,25.2,9.0,1
35,B-18-13,23.6,9.0,1
36,B-19-11,21.8,3.2,1
37,B-19-12,20.2,3.2,1
38,B-19-13,18.6,3.2,1
39,B-20-11,21.8,9.0,1
40,B-20-12,20.2,9.0,1
41,B-20-13,18.6,9.0,1
42,B-21-11,16.8,3.2,1
43,B-21-12,15.2,3.2,1
44,B-21-13,13.6,3.2,1
45,B-22-11,16.8,9.0,1
46,B-22-12,15.2,9.0,1
47,B-22-13,13.6,9.0,1
48,B-23-11,11.8,3.2,1
49,B-23-12,10.2,3.2,1
50,B-23-13,8.6,3.2,1
51,B-24-11,11.8,9.0,1
52,B-24-12,10.2,9.0,1
53,B-24-13,8.6,9.0,1
54,C-13-11,36.8,12.2,1
55,C-13-12,35.2,12.2,1
56,C-13-13,33.6,12.2,1
57,C-14-11,36.8,18.0,1
58,C-14-12,35.2,18.0,1
59,C-14-13,33.6,18.0,1
60,C-15-11,31.8,12.2,1
61,C-15-12,30.2,12.2,1
62,C-15-13,28.6,12.2,1
63,C-16-11,31.8,18.0,1
64,C-16-12,30.2,18.0,1
65,C-16-13,28.6,18.0,1
66,C-17-11,26.8,12.2,1
67,C-17-12,25.2,12.2,1
68,C-17-13,23.6,12.2,1
69,C-18-11,26.8,18.0,1
70,C-18-12,25.2,18.0,1
71,C-18-13,23.6,18.0,1
72,C-19-11,21.8,12.2,1
73,C-19-12,20.2,12.2,1
74,C-19-13,18.6,12.2,1
75,C-20-11,21.8,18.0,1
76,C-20-12,20.2,18.0,1
77,C-20-13,18.6,18.0,1
78,C-21-11,16.8,12.2,1
79,C-21-12,15.2,12.2,1
80,C-21-13,13.6,12.2,1
81,C-22-11,16.8,18.0,1
82,C-22-12,15.2,18.0,1
83,C-22-13,13.6,18.0,1
84,C-23-11,11.8,12.2,1
85,C-23-12,10.2,12.2,1
86,C-23-13,8.6,12.2,1
87,C-24-11,11.8,18.0,1
88,C-24-12,10.2,18.0,1
89,C-24-13,8.6,18.0,1
90,D-13-11,36.8,21.2,1
91,D-13-12,35.2,21.2,1
92,D-13-13,33.6,21.2,1
93,D-14-11,36.8,27.0,1
94,D-14-12,35.2,27.0,1
95,D-14-13,33.6,27.0,1
96,D-15-11,31.8,21.2,1
97,D-15-12,30.2,21.2,1
98,D-15-13,28.6,21.2,1
99,D-16-11,31.8,27.0,1
100,D-16-12,30.2,27.0,1
101,D-16-13,28.6,27.0,1
102,D-17-11,26.8,21.2,1
103,D-17-12,25.2,21.2,1
104,D-17-13,23.6,21.2,1
105,D-18-11,26.8,27.0,1
106,D-18-12,25.2,27.0,1
107,D-18-13,23.6,27.0,1
108,D-19-11,21.8,21.2,1
109,D-19-12,20.2,21.2,1
110,D-19-13,18.6,21.2,1
111,D-20-11,21.8,27.0,1
112,D-20-12,20.2,27.0,1
113,D-20-13,18.6,27.0,1
114,D-21-11,16.8,21.2,1
115,D-21-12,15.2,21.2,1
116,D-21-13,13.6,21.2,1
117,D-22-11,16.8,27.0,1
118,D-22-12,15.2,27.0,1
119,D-22-13,13.6,27.0,1
120,D-23-11,11.8,21.2,1
121,D-23-12,10.2,21.2,1
122,D-23-13,8.6,21.2,1
123,D-24-11,11.8,27.0,1
124,D-24-12,10.2,27.0,1
125,D-24-13,8.6,27.0,1
126,E-13-11,36.8,30.2,1
127,E-13-12,35.2,30.2,1
128,E-13-13,33.6,30.2,1
129,E-14-11,36.8,36.0,1
130,E-14-12,35.2,36.0,1
131,E-14-13,33.6,36.0,1
132,E-15-11,31.8,30.2,1
133,E-15-12,30.2,30.2,1
134,E-15-13,28.6,30.2,1
135,E-16-11,31.8,36.0,1
136,E-16-12,30.2,36.0,1
137,E-16-13,28.6,36.0,1
138,E-17-11,26.8,30.2,1
139,E-17-12,25.2,30.2,1
140,E-17-13,23.6,30.2,1
141,E-18-11,26.8,36.0,1
142,E-18-12,25.2,36.0,1
143,E-18-13,23.6,36.0,1
144,E-19-11,21.8,30.2,1
145,E-19-12,20.2,30.2,1
146,E-19-13,18.6,30.2,1
147,E-20-11,21.8,36.0,1
148,E-20-12,20.2,36.0,1
149,E-20-13,18.6,36.0,1
150,E-21-11,16.8,30.2,1
151,E-21-12,15.2,30.2,1
152,E-21-13,13.6,30.2,1
153,E-22-11,16.8,36.0,1
154,E-22-12,15.2,36.0,1
155,E-22-13,13.6,36.0,1
156,E-23-11,11.8,30.2,1
157,E-23-12,10.2,30.2,1
158,E-23-13,8.6,30.2,1
159,E-24-11,11.8,36.0,1
160,E-24-12,10.2,36.0,1
161,E-24-13,8.6,36.0,1
162,F-13-11,36.8,39.2,1
163,F-13-12,35.2,39.2,1
164,F-13-13,33.6,39.2,1
165,F-14-11,36.8,45.0,1
166,F-14-12,35.2,45.0,1
167,F-14-13,33.6,45.0,1
168,F-15-11,31.8,39.2,1
169,F-15-12,30.2,39.2,1
170,F-15-13,28.6,39.2,1
171,F-16-11,31.8,45.0,1
172,F-16-12,30.2,45.0,1
173,F-16-13,28.6,45.0,1
174,F-17-11,26.8,39.2,1
175,F-17-12,25.2,39.2,1
176,F-17-13,23.6,39.2,1
177,F-18-11,26.8,45.0,1
178,F-18-12,25.2,45.0,1
179,F-18-13,23.6,45.0,1
180,F-19-11,21.8,39.2,1
181,F-19-12,20.2,39.2,1
182,F-19-13,18.6,39.2,1
183,F-20-11,21.8,45.0,1
184,F-20-12,20.2,45.0,1
185,F-20-13,18.6,45.0,1
186,F-21-11,16.8,39.2,1
187,F-21-12,15.2,39.2,1
188,F-21-13,13.6,39.2,1
189,F-22-11,16.8,45.0,1
190,F-22-12,15.2,45.0,1
191,F-22-13,13.6,45.0,1
192,F-23-11,11.8,39.2,1
193,F-23-12,10.2,39.2,1
194,F-23-13,8.6,39.2,1
195,F-24-11,11.8,45.0,1
196,F-24-12,10.2,45.0,1
197,F-24-13,8.6,45.0,1
198,G-13-11,36.8,48.2,1
199,G-13-12,35.2,48.2,1
200,G-13-13,33.6,48.2,1
201,G-15-11,31.8,48.2,1
202,G-15-12,30.2,48.2,1
203,G-15-13,28.6,48.2,1
204,G-17-11,26.8,48.2,1
205,G-17-12,25.2,48.2,1
206,G-17-13,23.6,48.2,1
207,G-19-11,21.8,48.2,1
208,G-19-12,20.2,48.2,1
209,G-19-13,18.6,48.2,1
210,G-21-11,16.8,48.2,1
211,G-21-12,15.2,48.2,1
212,G-21-13,13.6,48.2,1
213,G-23-11,11.8,48.2,1
214,G-23-12,10.2,48.2,1
215,G-23-13,8.6,48.2,1
216,H-02-11,66.6,68.8,1
217,H-02-12,65.0,68.8,1
