waveNumber,fitness,individual,history
43175,119.19999999999999,"[('0LNUOV', 'E-20-12'), ('QVFB0Q', 'E-20-12'), ('8N10W9', 'E-18-12'), ('W25EZN', 'E-16-13'), ('J3FI7N', 'F-15-11'), ('2T1DJM', 'F-15-11'), ('TNAHD4', 'F-13-13'), ('05W6TK', 'F-13-11')]","[219.60000000000002, 189.0, 168.2, 146.0, 146.0, 141.2, 127.19999999999999, 121.19999999999999, 121.19999999999999, 121.19999999999999, 119.19999999999999, 119.19999999999999, 119.19999999999999, 119.19999999999999, 119.19999999999999, 119.19999999999999, 119.19999999999999, 119.19999999999999, 119.19999999999999, 119.19999999999999, 119.19999999999999, 119.19999999999999, 119.19999999999999, 119.19999999999999, 119.19999999999999, 119.19999999999999, 119.19999999999999, 119.19999999999999, 119.19999999999999, 119.19999999999999]"
43173,139.79999999999998,"[('HCMI82', 'F-15-11'), ('8D9SAW', 'F-15-11'), ('ASG1IT', 'E-20-12'), ('EO69NY', 'E-18-13'), ('CD1NU9', 'E-18-11'), ('JUUL5B', 'E-16-13'), ('7BU1V7', 'E-16-11'), ('QTMT7N', 'H-16-12'), ('SMMRK3', 'H-16-12'), ('2OAVPY', 'H-14-13')]","[319.99999999999994, 250.40000000000003, 229.2, 229.2, 193.60000000000002, 164.8, 164.8, 160.39999999999998, 150.39999999999998, 148.0, 142.39999999999998, 142.39999999999998, 139.79999999999998, 139.79999999999998, 139.79999999999998, 139.79999999999998, 139.79999999999998, 139.79999999999998, 139.79999999999998, 139.79999999999998, 139.79999999999998, 139.79999999999998, 139.79999999999998, 139.79999999999998, 139.79999999999998, 139.79999999999998, 139.79999999999998, 139.79999999999998, 139.79999999999998, 139.79999999999998]"
43172,109.39999999999999,"[('YXGRMP', 'G-13-13'), ('XPZSZ1', 'G-15-13'), ('70EPUK', 'G-19-12'), ('8D9SAW', 'G-23-12'), ('HOUGRO', 'F-23-13'), ('5HQR89', 'F-21-13'), ('1D2ILZ', 'F-17-13'), ('LXJQVG', 'F-17-11')]","[215.60000000000002, 215.60000000000002, 168.2, 168.2, 151.39999999999998, 145.39999999999998, 125.99999999999999, 125.99999999999999, 115.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999]"
43171,146.6,"[('YXGRMP', 'C-22-12'), ('D8AMD3', 'C-18-11')]","[146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6, 146.6]"
43168,151.59999999999997,"[('SMMRK3', 'E-13-13'), ('JEGRCL', 'E-14-11'), ('NM6C73', 'E-14-11'), ('WRRW1W', 'F-15-12'), ('LXJQVG', 'F-17-11'), ('E5CISL', 'F-13-12'), ('05W6TK', 'F-13-11'), ('8N10W9', 'F-16-12'), ('2OAVPY', 'I-13-11'), ('YE890X', 'H-14-12')]","[348.2, 298.2, 258.4, 230.7, 227.2, 210.19999999999993, 168.99999999999994, 167.59999999999997, 160.39999999999998, 158.99999999999994, 154.39999999999998, 154.39999999999998, 153.0, 152.99999999999997, 152.99999999999994, 151.59999999999997, 151.59999999999997, 151.59999999999997, 151.59999999999997, 151.59999999999997, 151.59999999999997, 151.59999999999997, 151.59999999999997, 151.59999999999997, 151.59999999999997, 151.59999999999997, 151.59999999999997, 151.59999999999997, 151.59999999999997, 151.59999999999997]"
43166,107.19999999999999,"[('AKP0A7', 'E-13-11'), ('SMMRK3', 'E-19-11'), ('WGHG3L', 'E-19-11'), ('XUZJ74', 'E-15-12'), ('I1KDJ0', 'E-15-11'), ('WRRW1W', 'E-15-11'), ('TBCCF7', 'E-13-13'), ('9KHDG3', 'E-14-11')]","[243.0, 195.0, 174.39999999999998, 144.99999999999997, 142.0, 125.79999999999998, 111.19999999999999, 107.19999999999999, 107.19999999999999, 107.19999999999999, 107.19999999999999, 107.19999999999999, 107.19999999999999, 107.19999999999999, 107.19999999999999, 107.19999999999999, 107.19999999999999, 107.19999999999999, 107.19999999999999, 107.19999999999999, 107.19999999999999, 107.19999999999999, 107.19999999999999, 107.19999999999999, 107.19999999999999, 107.19999999999999, 107.19999999999999, 107.19999999999999, 107.19999999999999, 107.19999999999999]"
43165,170.0,"[('RAUDQ6', 'F-21-11'), ('X31OGS', 'F-21-11'), ('J3FI7N', 'F-23-11'), ('F73ZE1', 'E-22-11'), ('I1KDJ0', 'E-20-12'), ('CD1NU9', 'E-18-11'), ('05W6TK', 'D-14-11'), ('1ENECA', 'D-14-13'), ('WGHG3L', 'D-16-13'), ('AKP0A7', 'D-14-11')]","[244.0, 258.0, 258.0, 212.8, 205.8, 205.8, 183.39999999999998, 183.39999999999998, 183.39999999999998, 183.39999999999998, 180.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0]"
43163,109.39999999999999,"[('J3FI7N', 'F-14-11'), ('1ENECA', 'F-14-13'), ('TBCCF7', 'F-20-12'), ('RAUDQ6', 'F-24-12'), ('WRRW1W', 'F-21-13'), ('Q50W5L', 'F-19-13'), ('AKP0A7', 'F-15-12'), ('KTDZY0', 'F-13-11')]","[255.39999999999998, 205.39999999999998, 144.79999999999998, 144.79999999999998, 139.0, 118.19999999999999, 118.19999999999999, 115.19999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999]"
43160,109.79999999999998,"[('NM6C73', 'E-14-11'), ('TBCCF7', 'E-14-12'), ('FQ53YY', 'E-14-12'), ('J3FI7N', 'F-13-12'), ('UHYJ3A', 'F-13-12'), ('O9YFO8', 'F-13-13'), ('NISP6K', 'F-16-13'), ('IJBSQT', 'F-16-12')]","[213.2, 202.59999999999997, 168.59999999999997, 152.59999999999997, 136.39999999999998, 118.39999999999998, 128.39999999999998, 118.39999999999998, 111.79999999999998, 109.79999999999998, 109.79999999999998, 109.79999999999998, 109.79999999999998, 109.79999999999998, 109.79999999999998, 109.79999999999998, 109.79999999999998, 109.79999999999998, 109.79999999999998, 109.79999999999998, 109.79999999999998, 109.79999999999998, 109.79999999999998, 109.79999999999998, 109.79999999999998, 109.79999999999998, 109.79999999999998, 109.79999999999998, 109.79999999999998, 109.79999999999998]"
43154,111.79999999999998,"[('9KHDG3', 'E-14-11'), ('7BU1V7', 'E-14-12'), ('NM6C73', 'E-13-11'), ('Z8KPP8', 'E-17-12'), ('9S4AF8', 'E-13-12'), ('56TC1Z', 'H-14-12'), ('U95NWB', 'H-14-11'), ('PP9DNA', 'H-14-11')]","[178.0, 153.79999999999998, 138.39999999999998, 136.99999999999997, 128.99999999999997, 119.79999999999998, 115.19999999999999, 115.79999999999998, 113.19999999999999, 113.19999999999999, 111.79999999999998, 111.79999999999998, 111.79999999999998, 111.79999999999998, 111.79999999999998, 111.79999999999998, 111.79999999999998, 111.79999999999998, 111.79999999999998, 111.79999999999998, 111.79999999999998, 111.79999999999998, 111.79999999999998, 111.79999999999998, 111.79999999999998, 111.79999999999998, 111.79999999999998, 111.79999999999998, 111.79999999999998, 111.79999999999998]"
43152,70.80000000000001,"[('WH1BJI', 'K-09-13'), ('CD1NU9', 'I-09-13')]","[70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001, 70.80000000000001]"
43151,145.39999999999998,"[('9KHDG3', 'E-14-11'), ('WH1BJI', 'E-14-11'), ('8N10W9', 'E-18-12'), ('I1KDJ0', 'E-20-13'), ('2T1DJM', 'D-20-11'), ('32ZKOX', 'D-18-12'), ('WGHG3L', 'D-18-11'), ('Z8KPP8', 'D-18-11'), ('UNPPMJ', 'D-16-13'), ('KTDZY0', 'D-16-11')]","[296.2, 258.4, 225.59999999999997, 201.59999999999997, 192.8, 192.8, 183.0, 173.79999999999995, 155.39999999999998, 151.39999999999998, 151.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998, 145.39999999999998]"
43144,91.39999999999999,"[('SMMRK3', 'H-22-11'), ('2T1DJM', 'H-22-13'), ('6M2FJM', 'H-22-13'), ('JEGRCL', 'H-24-11'), ('I1KDJ0', 'G-21-12'), ('F7LULH', 'G-21-11'), ('8N10W9', 'G-19-12'), ('KTDZY0', 'G-17-13')]","[260.2, 215.39999999999998, 178.2, 178.2, 131.0, 121.39999999999999, 107.39999999999999, 97.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999, 91.39999999999999]"
43127,109.39999999999999,"[('KTDZY0', 'F-18-13'), ('AKP0A7', 'F-20-12'), ('W25EZN', 'F-24-11'), ('ZGYCSW', 'H-24-12'), ('WRRW1W', 'H-24-12'), ('2T1DJM', 'H-22-13'), ('I1KDJ0', 'H-22-12'), ('O9YFO8', 'H-16-11')]","[244.2, 212.60000000000002, 183.8, 150.0, 139.59999999999997, 133.0, 126.19999999999999, 126.19999999999999, 124.99999999999999, 118.19999999999999, 115.39999999999999, 115.39999999999999, 113.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999, 109.39999999999999]"
43125,105.19999999999999,"[('2T1DJM', 'F-15-11'), ('J3FI7N', 'F-15-11'), ('WRRW1W', 'F-15-12'), ('5HQR89', 'F-19-11'), ('W25EZN', 'F-21-11'), ('8N10W9', 'F-17-12'), ('O9YFO8', 'F-13-13'), ('I1KDJ0', 'F-14-13')]","[254.0, 195.2, 195.2, 171.8, 150.0, 138.0, 125.19999999999999, 125.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999, 105.19999999999999]"
